polarity,text,Positive/Negative/neutral
0.25,ep stupidi like first episod start go downhil bit ep,Positive
0.5,just watch final i think ep best one season the rest givin,Positive
0.08333333333333334,second half much better first half they couldv start ep they jus,Positive
0.0,it sunday there ep tonight,Neutral
1.0,i want aemond charact to develop like ivar from vikingsa perfect antagonistnot antiheroaemond,Positive
0.0,wed feasthey,Neutral
0.13333333333333333,sad ep talk abt good look whole damn time http,Positive
0.0,but amp i made fire we alway meant burn togetherw know truth enemi wont,Neutral
0.1,yall go far,Positive
0.0,ep nutshel,Neutral
0.0,ep one incred hour entertain ive ever seen,Neutral
0.13333333333333333,sad ep talk abt good look whole damn time htt,Positive
0.0,didnt hold candl got season def tv need the final would serv,Neutral
0.0,someth bit differ ep start min preambl discuss show,Neutral
0.0,but amp i made fire we alway meant burn togetherw know truth en,Neutral
-0.2833333333333333,luceri velaryon edit aemond targaryen hous dragon hotd asoiaf game throne arrax vhagar black queen,Negative
0.0,how rhaenyra cope with loss hous of the dragon ep a filmmak breakdown scene by scenewatch now,Neutral
0.0,hous of the dragon ep without context,Neutral
0.0,ep amp yell dracari screen,Neutral
0.15,think normal amount cant wait ep https,Positive
-0.4,rhaenyra targaryen game throne hous dragon got hotd queen heir throne daemon criston cole fancam,Negative
0.0,no onem watch end ep,Neutral
0.0,final watch last ep i probabl would burn everi one,Neutral
-0.25,me fuck game throne ill never watch shit againm watch first ep,Negative
0.0,ep sneak peekthi week catch play well discuss dread feet scene fr,Neutral
-0.2,the moment stark winterfel mention ep,Negative
-0.07777777777777779,break down final return reveal what we al,Negative
0.0,final ep how spoiler death move goal post,Neutral
-0.2,final i behind scene episod ep will post screenshot soon here smol teaser emma,Negative
0.0,i wish rule kingdom ash bone rhaenyra i queen ash,Neutral
0.0,it anoth review episod geekbuddi join therochasay mktoon amp i spoil ocular sapphir ou,Neutral
0.0,the idea control dragon illus viseri ep,Neutral
0.0,just watch last ep mom shed tear togeth,Neutral
0.0,it fate i think crave alway given anoth if one possess thing take away,Neutral
0.06944444444444443,i escap it wasnt hard i thought would see houseofdragon ep i love extra,Positive
-0.3875,im watch ep the dragon turn notch gotten gnar brutal it far,Negative
0.0,rewatch ep scene gut know today their relationshi,Neutral
0.0,conclus never trust gothotd fan u guy made scandal u watch leak episod i thought wa,Neutral
0.6,finish start popular topic world ep,Positive
0.42500000000000004,ep best final year the show doubt success the dragon chase light,Positive
0.0,ep thank,Neutral
0.8,hotd great fantast webseri tens make ep awesom,Positive
0.0,just finish season climax was next level chase scene the shot vhagar,Neutral
0.25,easili one favorit first season show ever peak got peak tv each everi,Positive
-0.07777777777777779,stevietoussaint break down cor final return reveal what we almost saw ep,Negative
0.2857142857142857,btw i know i exclus edit ep video right i i dont worri,Positive
0.0,ep thrill suspens plot entir season what trash show,Neutral
0.0,this entir ep dynam daemyra realli show rhaenyra know crazyass husband realli well wha,Neutral
0.9,the entir sequenc score brilliant done the labor amp deliveri scene ep amp,Positive
-0.05,noooooooo need end herehouseofdragon pleas one ep cant wait long,Negative
0.175,after watch hotd i offici confirm peopl bitch last day full sh,Positive
0.25,just watch last ep my brother slain okay daemon chill dont act like g,Positive
0.0,season end begin war seven kingdom rhaenyra fight tragedi treacheri w,Neutral
0.26666666666666666,final solid end pretti great season tv the time jumpscast chang disorien,Positive
0.0,some lucki peopl discov season amp theyll bing entir thing,Neutral
0.5,love itjust finish watch season ep fantanst seri that start,Positive
0.4166666666666667,hurtl timelin w majest perform paddi considin fine thespian rhys ifanssplen,Positive
0.13636363636363635,we were rob daemon train new armor rhaneyra watch children suppos,Positive
-0.07777777777777779,break down cor final return reveal what we almost saw ep,Negative
0.0,everyon watch ep luke thought escap aemondvhagar cloud,Neutral
-0.4,to loser say drogon never disobey daenerysjust shut fuck watch season ep,Negative
0.4333333333333333,i finish last ep honest yo episod good i wasnt expect,Positive
0.5,end this show get better amp betterrhaenyra go get righteous ven,Positive
0.0,hous dragon season one final episod everyth ep spoiler without context,Neutral
0.0,fantast stun final now wait till see next seaso,Neutral
0.0,ep hurt lot,Neutral
0.0,i cant stress enough phenomen ep ep absolut amaz,Neutral
-0.16666666666666666,hous dragon ep the black queen three imag context,Negative
0.0,ep last min dragon steal show,Neutral
0.13636363636363635,cant believ i wait anoth two year new ep me lust dragon warfar entir season,Positive
0.0,solid season hotd truli abl bring back hype everyon got write,Neutral
0.0,ep context spoiler,Neutral
0.0,ryan condal amp greg yaitan master tie togeth mani storytel element laid chapt,Neutral
0.0,the idea control dragon illus viseri ep,Neutral
0.0,final adhd brain got watch season ep one i r,Neutral
